Team	Last Ten Games
New Jersey Devils	7.333333333333333
Carolina Hurricanes	6.333333333333333
Pittsburgh Penguins	8.333333333333334
New York Islanders	6.0
New York Rangers	5.333333333333333
Washington Capitals	7.333333333333333
Philadelphia Flyers	3.0
Columbus Blue Jackets	4.333333333333333
Boston Bruins	7.333333333333333
Toronto Maple Leafs	8.666666666666666
Tampa Bay Lightning	7.0
Detroit Red Wings	5.666666666666667
Florida Panthers	4.666666666666667
Montréal Canadiens	5.333333333333333
Buffalo Sabres	5.666666666666667
Ottawa Senators	5.333333333333333
Winnipeg Jets	7.0
Dallas Stars	6.0
Colorado Avalanche	4.333333333333333
Minnesota Wild	7.0
Nashville Predators	6.333333333333333
St. Louis Blues	2.3333333333333335
Arizona Coyotes	4.0
Chicago Blackhawks	1.3333333333333333
Vegas Golden Knights	6.0
Seattle Kraken	7.0
Los Angeles Kings	5.0
Edmonton Oilers	6.0
Calgary Flames	4.666666666666667
Vancouver Canucks	6.0
San Jose Sharks	3.6666666666666665
Anaheim Ducks	2.6666666666666665
