Team	Last Ten Games
New Jersey Devils	0.8698738306774334
Carolina Hurricanes	0.6996423107029495
Pittsburgh Penguins	0.9504565400332627
New York Islanders	0.6210903998683994
New York Rangers	0.4480250915942354
Washington Capitals	0.8698738306774334
Philadelphia Flyers	0.06485385084884292
Columbus Blue Jackets	0.2204747578805808
Boston Bruins	0.8698738306774334
Toronto Maple Leafs	0.9646172966304633
Tampa Bay Lightning	0.8246864974195467
Detroit Red Wings	0.5356302096498455
Florida Panthers	0.2866959154736336
Montréal Canadiens	0.4480250915942354
Buffalo Sabres	0.5356302096498455
Ottawa Senators	0.4480250915942354
Winnipeg Jets	0.8246864974195467
Dallas Stars	0.6210903998683994
Colorado Avalanche	0.2204747578805808
Minnesota Wild	0.8246864974195467
Nashville Predators	0.6996423107029495
St. Louis Blues	0.033201376945051826
Arizona Coyotes	0.16598997492680156
Chicago Blackhawks	0.011824958981267848
Vegas Golden Knights	0.6210903998683994
Seattle Kraken	0.8246864974195467
Los Angeles Kings	0.36353137428470955
Edmonton Oilers	0.6210903998683994
Calgary Flames	0.2866959154736336
Vancouver Canucks	0.6210903998683994
San Jose Sharks	0.12284781455383485
Anaheim Ducks	0.04653124178126105
