Team	Current Streak
New Jersey Devils	-1
Carolina Hurricanes	1
Pittsburgh Penguins	5
New York Islanders	-1
New York Rangers	3
Washington Capitals	4
Philadelphia Flyers	-0.6666666666666666
Columbus Blue Jackets	2
Boston Bruins	-1
Toronto Maple Leafs	3
Tampa Bay Lightning	2
Detroit Red Wings	-0.3333333333333333
Florida Panthers	-2
Montréal Canadiens	-1
Buffalo Sabres	-1
Ottawa Senators	1
Winnipeg Jets	-1
Dallas Stars	2
Colorado Avalanche	1
Minnesota Wild	1
Nashville Predators	-2
St. Louis Blues	-0.3333333333333333
Arizona Coyotes	2
Chicago Blackhawks	-3
Vegas Golden Knights	1
Seattle Kraken	1
Los Angeles Kings	-0.3333333333333333
Edmonton Oilers	2
Calgary Flames	-0.3333333333333333
Vancouver Canucks	-1
San Jose Sharks	1
Anaheim Ducks	-1
