Team	Last Ten Games
New Jersey Devils	0.19051993657230656
Carolina Hurricanes	0.6279076596151405
Pittsburgh Penguins	0.9886039140648571
New York Islanders	0.19051993657230656
New York Rangers	0.923659326135975
Washington Capitals	0.9700576204346736
Philadelphia Flyers	0.24632287089550683
Columbus Blue Jackets	0.8187934406767515
Boston Bruins	0.19051993657230656
Toronto Maple Leafs	0.923659326135975
Tampa Bay Lightning	0.8187934406767515
Detroit Red Wings	0.312167271125041
Florida Panthers	0.08079615842918025
Montréal Canadiens	0.19051993657230656
Buffalo Sabres	0.19051993657230656
Ottawa Senators	0.6279076596151405
Winnipeg Jets	0.19051993657230656
Dallas Stars	0.8187934406767515
Colorado Avalanche	0.6279076596151405
Minnesota Wild	0.6279076596151405
Nashville Predators	0.08079615842918025
St. Louis Blues	0.312167271125041
Arizona Coyotes	0.8187934406767515
Chicago Blackhawks	0.03178309264031343
Vegas Golden Knights	0.6279076596151405
Seattle Kraken	0.6279076596151405
Los Angeles Kings	0.312167271125041
Edmonton Oilers	0.8187934406767515
Calgary Flames	0.312167271125041
Vancouver Canucks	0.19051993657230656
San Jose Sharks	0.6279076596151405
Anaheim Ducks	0.19051993657230656
