Team	Shots Against Base
New Jersey Devils	26.5926
New York Islanders	31.7586
New York Rangers	29.4828
Philadelphia Flyers	31.6552
Pittsburgh Penguins	34.0
Boston Bruins	28.6538
Buffalo Sabres	32.0357
Montréal Canadiens	33.0
Ottawa Senators	33.1111
Toronto Maple Leafs	29.3793
Carolina Hurricanes	26.1481
Florida Panthers	31.7143
Tampa Bay Lightning	30.7407
Washington Capitals	30.7333
Chicago Blackhawks	34.5769
Detroit Red Wings	31.9259
Nashville Predators	33.12
St. Louis Blues	32.6071
Calgary Flames	28.1786
Colorado Avalanche	33.1154
Edmonton Oilers	33.3929
Vancouver Canucks	32.6786
Anaheim Ducks	37.5
Dallas Stars	31.1786
Los Angeles Kings	29.5484
San Jose Sharks	30.8
Columbus Blue Jackets	35.8519
Minnesota Wild	30.1852
Winnipeg Jets	31.5926
Arizona Coyotes	35.1923
Vegas Golden Knights	31.069
Seattle Kraken	27.3846
