Team	Shots Against Corrected
New Jersey Devils	0.9697738972576374
New York Islanders	0.4596176551407071
New York Rangers	0.8080459188273054
Philadelphia Flyers	0.47770954041005526
Pittsburgh Penguins	0.1497003521204005
Boston Bruins	0.882872279865265
Buffalo Sabres	0.41178164295166475
Montréal Canadiens	0.26226377194608114
Ottawa Senators	0.2474409478108869
Toronto Maple Leafs	0.8190751334194577
Carolina Hurricanes	0.9777021548545926
Florida Panthers	0.46735859315517436
Tampa Bay Lightning	0.6349273606803841
Washington Capitals	0.6361318703228869
Chicago Blackhawks	0.10504816466631836
Detroit Red Wings	0.43058944788588793
Nashville Predators	0.2462781716477326
St. Louis Blues	0.3190506963447785
Calgary Flames	0.9132395205518146
Colorado Avalanche	0.24687869738333434
Edmonton Oilers	0.21243107216257612
Vancouver Canucks	0.3082353560113533
Anaheim Ducks	0.014825578776624899
Dallas Stars	0.5611164204041479
Los Angeles Kings	0.8007940255891023
San Jose Sharks	0.6252150091266973
Columbus Blue Jackets	0.04572459984310285
Minnesota Wild	0.7198613313923903
Winnipeg Jets	0.4886942132718881
Arizona Coyotes	0.07077774427106494
Vegas Golden Knights	0.5799850620544365
Seattle Kraken	0.9484269118610998
