Team	Shots For Base
New Jersey Devils	34.8889
New York Islanders	31.5517
New York Rangers	33.3793
Philadelphia Flyers	29.3793
Pittsburgh Penguins	33.6071
Boston Bruins	35.3462
Buffalo Sabres	32.6786
Montréal Canadiens	28.963
Ottawa Senators	33.7407
Toronto Maple Leafs	31.2414
Carolina Hurricanes	35.037
Florida Panthers	38.2857
Tampa Bay Lightning	31.9259
Washington Capitals	30.8333
Chicago Blackhawks	25.6154
Detroit Red Wings	29.8889
Nashville Predators	30.12
St. Louis Blues	29.9286
Calgary Flames	33.8571
Colorado Avalanche	32.6923
Edmonton Oilers	32.0357
Vancouver Canucks	30.1786
Anaheim Ducks	30.0
Dallas Stars	32.3214
Los Angeles Kings	32.4516
San Jose Sharks	30.0333
Columbus Blue Jackets	29.6296
Minnesota Wild	31.963
Winnipeg Jets	30.7037
Arizona Coyotes	23.5769
Vegas Golden Knights	32.4483
Seattle Kraken	29.2308
