Team	Strength of Schedule Base
Anaheim Ducks	1.806309523809524
Arizona Coyotes	5.364285714285715
Boston Bruins	12.289157509157508
Buffalo Sabres	4.832908163265306
Calgary Flames	7.098129251700682
Carolina Hurricanes	6.182142857142858
Chicago Blackhawks	2.675320512820513
Colorado Avalanche	6.159294871794871
Columbus Blue Jackets	5.306525573192239
Dallas Stars	7.528086734693877
Detroit Red Wings	4.147425044091711
Edmonton Oilers	8.046147959183674
Florida Panthers	5.490850340136054
Los Angeles Kings	5.605937019969279
Minnesota Wild	4.008509700176366
Montréal Canadiens	4.887901234567902
Nashville Predators	5.261866666666667
New Jersey Devils	9.707380952380955
New York Islanders	8.088563218390805
New York Rangers	6.17204433497537
Ottawa Senators	4.893306878306879
Philadelphia Flyers	4.649671592775042
Pittsburgh Penguins	7.19465986394558
San Jose Sharks	3.8259999999999996
Seattle Kraken	8.219839743589743
St. Louis Blues	4.409863945578231
Tampa Bay Lightning	7.8637213403880075
Toronto Maple Leafs	8.76316091954023
Vancouver Canucks	4.736445578231292
Vegas Golden Knights	5.727118226600986
Washington Capitals	6.221123015873016
Winnipeg Jets	8.425776014109347
