Team	Strength of Schedule Corrected
Anaheim Ducks	0.025129321086796892
Arizona Coyotes	0.3462859706997439
Boston Bruins	0.99476938113825
Buffalo Sabres	0.2522091552384825
Calgary Flames	0.6979747384025634
Carolina Hurricanes	0.5148576704195135
Chicago Blackhawks	0.051175845500970395
Colorado Avalanche	0.5100077843668469
Columbus Blue Jackets	0.33526254949536033
Dallas Stars	0.7690518342259386
Detroit Red Wings	0.15852385629425778
Edmonton Oilers	0.8379578125864119
Florida Panthers	0.3710125377301225
Los Angeles Kings	0.39410303307908495
Minnesota Wild	0.14340709826435
Montréal Canadiens	0.26112252634370603
Nashville Predators	0.32686019465187033
New Jersey Devils	0.9549763325305852
New York Islanders	0.8427915649345322
New York Rangers	0.5127143726391942
Ottawa Senators	0.2620095920134953
Philadelphia Flyers	0.2239936863877597
Pittsburgh Penguins	0.7149778915862419
San Jose Sharks	0.1253914471637804
Seattle Kraken	0.8570106217108616
St. Louis Blues	0.19057413669413353
Tampa Bay Lightning	0.8157960744704384
Toronto Maple Leafs	0.9048476103308484
Vancouver Canucks	0.2370684458231627
Vegas Golden Knights	0.41893624183812317
Washington Capitals	0.5231249434300612
Winnipeg Jets	0.8771424521219714
