Team	Total Rating
Anaheim Ducks	0.08583272360127925
Arizona Coyotes	0.2875995513529774
Boston Bruins	0.880161551015815
Buffalo Sabres	0.40619487182783887
Calgary Flames	0.5588789690786785
Carolina Hurricanes	0.5889056578279944
Chicago Blackhawks	0.16191660850593087
Colorado Avalanche	0.49504223398470176
Columbus Blue Jackets	0.28268552582943723
Dallas Stars	0.7087361284831669
Detroit Red Wings	0.40392062971178416
Edmonton Oilers	0.6047713512266486
Florida Panthers	0.45210449422933846
Los Angeles Kings	0.45434332001825495
Minnesota Wild	0.445076462821887
Montréal Canadiens	0.3147178301687101
Nashville Predators	0.37905168512211423
New Jersey Devils	0.8479734461447838
New York Islanders	0.6508960510527829
New York Rangers	0.559523925725902
Ottawa Senators	0.4030651737732856
Philadelphia Flyers	0.2762003257552038
Pittsburgh Penguins	0.6629545054756398
San Jose Sharks	0.2907474852820753
Seattle Kraken	0.6649260882238863
St. Louis Blues	0.24646326028280924
Tampa Bay Lightning	0.7053991806902481
Toronto Maple Leafs	0.7776336725038524
Vancouver Canucks	0.36750661291167425
Vegas Golden Knights	0.5632279527127957
Washington Capitals	0.5598855475196338
Winnipeg Jets	0.7092391083369218
