Team	Win Rating Base
Anaheim Ducks	0.1738082142857143
Arizona Coyotes	0.38461461538461533
Boston Bruins	0.7474350000000001
Buffalo Sabres	0.40833285714285705
Calgary Flames	0.4678564285714286
Carolina Hurricanes	0.5382703703703704
Chicago Blackhawks	0.2948707692307692
Colorado Avalanche	0.4692299999999999
Columbus Blue Jackets	0.3580237037037037
Dallas Stars	0.6071417857142857
Detroit Red Wings	0.5098755555555555
Edmonton Oilers	0.5476185714285714
Florida Panthers	0.4632179310344827
Los Angeles Kings	0.4870958064516129
Minnesota Wild	0.4185177777777777
Montréal Canadiens	0.38148074074074073
Nashville Predators	0.4079992
New Jersey Devils	0.7530855555555556
New York Islanders	0.5517234482758621
New York Rangers	0.4977003448275862
Ottawa Senators	0.40740666666666664
Philadelphia Flyers	0.39080379310344826
Pittsburgh Penguins	0.5749992857142857
San Jose Sharks	0.3033323333333333
Seattle Kraken	0.5802455555555556
St. Louis Blues	0.3845232142857143
Tampa Bay Lightning	0.5802455555555556
Toronto Maple Leafs	0.6666655172413793
Vancouver Canucks	0.41666535714285713
Vegas Golden Knights	0.5931024137931035
Washington Capitals	0.4999993333333334
Winnipeg Jets	0.6049366666666668
