Rating Date,Team,Division,Absolute Ranking
17/10/2022 (v6.0),Anaheim Ducks,PAC,26.0
17/10/2022 (v6.0),Arizona Coyotes,CEN,22.0
17/10/2022 (v6.0),Boston Bruins,ATL,3.0
17/10/2022 (v6.0),Buffalo Sabres,ATL,19.0
17/10/2022 (v6.0),Calgary Flames,CEN,5.0
17/10/2022 (v6.0),Carolina Hurricanes,MET,2.0
17/10/2022 (v6.0),Chicago Blackhawks,CEN,24.0
17/10/2022 (v6.0),Colorado Avalanche,CEN,11.0
17/10/2022 (v6.0),Columbus Blue Jackets,MET,32.0
17/10/2022 (v6.0),Dallas Stars,CEN,1.0
17/10/2022 (v6.0),Detroit Red Wings,ATL,10.0
17/10/2022 (v6.0),Edmonton Oilers,PAC,20.0
17/10/2022 (v6.0),Florida Panthers,ATL,12.0
17/10/2022 (v6.0),Los Angeles Kings,PAC,17.0
17/10/2022 (v6.0),Minnesota Wild,CEN,27.0
17/10/2022 (v6.0),Montréal Canadiens,ATL,21.0
17/10/2022 (v6.0),Nashville Predators,CEN,15.0
17/10/2022 (v6.0),New Jersey Devils,MET,29.0
17/10/2022 (v6.0),New York Islanders,MET,13.0
17/10/2022 (v6.0),New York Rangers,MET,8.0
17/10/2022 (v6.0),Ottawa Senators,ATL,30.0
17/10/2022 (v6.0),Philadelphia Flyers,MET,6.0
17/10/2022 (v6.0),Pittsburgh Penguins,MET,9.0
17/10/2022 (v6.0),San Jose Sharks,PAC,28.0
17/10/2022 (v6.0),Seattle Kraken,PAC,25.0
17/10/2022 (v6.0),St. Louis Blues,CEN,7.0
17/10/2022 (v6.0),Tampa Bay Lightning,ATL,23.0
17/10/2022 (v6.0),Toronto Maple Leafs,ATL,18.0
17/10/2022 (v6.0),Vancouver Canucks,PAC,31.0
17/10/2022 (v6.0),Vegas Golden Knights,PAC,4.0
17/10/2022 (v6.0),Washington Capitals,MET,14.0
17/10/2022 (v6.0),Winnipeg Jets,CEN,16.0
22/10/2022 (v6.0),Anaheim Ducks,PAC,31.0
22/10/2022 (v6.0),Arizona Coyotes,CEN,29.0
22/10/2022 (v6.0),Boston Bruins,ATL,8.0
22/10/2022 (v6.0),Buffalo Sabres,ATL,4.0
22/10/2022 (v6.0),Calgary Flames,CEN,5.0
22/10/2022 (v6.0),Carolina Hurricanes,MET,12.0
22/10/2022 (v6.0),Chicago Blackhawks,CEN,22.0
22/10/2022 (v6.0),Colorado Avalanche,CEN,15.0
22/10/2022 (v6.0),Columbus Blue Jackets,MET,26.0
22/10/2022 (v6.0),Dallas Stars,CEN,3.0
