Rating Date,Team,Division,Average Ranking
17/10/2022 (v6.0),Anaheim Ducks,PAC,25.5
17/10/2022 (v6.0),Arizona Coyotes,CEN,26.5
17/10/2022 (v6.0),Boston Bruins,ATL,12.0
17/10/2022 (v6.0),Buffalo Sabres,ATL,22.5
17/10/2022 (v6.0),Calgary Flames,CEN,7.0
17/10/2022 (v6.0),Carolina Hurricanes,MET,2.5
17/10/2022 (v6.0),Chicago Blackhawks,CEN,28.0
17/10/2022 (v6.0),Colorado Avalanche,CEN,6.0
17/10/2022 (v6.0),Columbus Blue Jackets,MET,22.5
17/10/2022 (v6.0),Dallas Stars,CEN,8.5
17/10/2022 (v6.0),Detroit Red Wings,ATL,16.0
17/10/2022 (v6.0),Edmonton Oilers,PAC,12.0
17/10/2022 (v6.0),Florida Panthers,ATL,8.5
17/10/2022 (v6.0),Los Angeles Kings,PAC,18.0
17/10/2022 (v6.0),Minnesota Wild,CEN,17.5
17/10/2022 (v6.0),Montréal Canadiens,ATL,24.5
17/10/2022 (v6.0),Nashville Predators,CEN,13.0
17/10/2022 (v6.0),New Jersey Devils,MET,26.5
17/10/2022 (v6.0),New York Islanders,MET,16.5
17/10/2022 (v6.0),New York Rangers,MET,5.0
17/10/2022 (v6.0),Ottawa Senators,ATL,26.5
17/10/2022 (v6.0),Philadelphia Flyers,MET,18.0
17/10/2022 (v6.0),Pittsburgh Penguins,MET,11.5
17/10/2022 (v6.0),San Jose Sharks,PAC,27.5
17/10/2022 (v6.0),Seattle Kraken,PAC,27.0
17/10/2022 (v6.0),St. Louis Blues,CEN,7.0
17/10/2022 (v6.0),Tampa Bay Lightning,ATL,14.5
17/10/2022 (v6.0),Toronto Maple Leafs,ATL,14.0
17/10/2022 (v6.0),Vancouver Canucks,PAC,24.0
17/10/2022 (v6.0),Vegas Golden Knights,PAC,8.0
17/10/2022 (v6.0),Washington Capitals,MET,14.5
17/10/2022 (v6.0),Winnipeg Jets,CEN,17.0
22/10/2022 (v6.0),Anaheim Ducks,PAC,27.333333333333332
22/10/2022 (v6.0),Arizona Coyotes,CEN,27.333333333333332
22/10/2022 (v6.0),Boston Bruins,ATL,10.666666666666666
22/10/2022 (v6.0),Buffalo Sabres,ATL,16.333333333333332
22/10/2022 (v6.0),Calgary Flames,CEN,6.333333333333333
22/10/2022 (v6.0),Carolina Hurricanes,MET,5.666666666666667
22/10/2022 (v6.0),Chicago Blackhawks,CEN,26.0
22/10/2022 (v6.0),Colorado Avalanche,CEN,9.0
22/10/2022 (v6.0),Columbus Blue Jackets,MET,23.666666666666668
22/10/2022 (v6.0),Dallas Stars,CEN,6.666666666666667
22/10/2022 (v6.0),Detroit Red Wings,ATL,16.0
22/10/2022 (v6.0),Edmonton Oilers,PAC,14.333333333333334
22/10/2022 (v6.0),Florida Panthers,ATL,10.333333333333334
22/10/2022 (v6.0),Los Angeles Kings,PAC,20.333333333333332
22/10/2022 (v6.0),Minnesota Wild,CEN,20.666666666666668
22/10/2022 (v6.0),Montréal Canadiens,ATL,23.0
22/10/2022 (v6.0),Nashville Predators,CEN,18.0
22/10/2022 (v6.0),New Jersey Devils,MET,21.0
22/10/2022 (v6.0),New York Islanders,MET,18.666666666666668
22/10/2022 (v6.0),New York Rangers,MET,7.666666666666667
22/10/2022 (v6.0),Ottawa Senators,ATL,20.666666666666668
22/10/2022 (v6.0),Philadelphia Flyers,MET,14.0
22/10/2022 (v6.0),Pittsburgh Penguins,MET,8.333333333333334
22/10/2022 (v6.0),San Jose Sharks,PAC,28.333333333333332
22/10/2022 (v6.0),Seattle Kraken,PAC,24.0
22/10/2022 (v6.0),St. Louis Blues,CEN,5.0
22/10/2022 (v6.0),Tampa Bay Lightning,ATL,15.333333333333334
22/10/2022 (v6.0),Toronto Maple Leafs,ATL,11.666666666666666
22/10/2022 (v6.0),Vancouver Canucks,PAC,26.666666666666668
22/10/2022 (v6.0),Vegas Golden Knights,PAC,9.0
22/10/2022 (v6.0),Washington Capitals,MET,16.666666666666668
22/10/2022 (v6.0),Winnipeg Jets,CEN,19.333333333333332
31/10/2022 (v6.0),Anaheim Ducks,PAC,28.5
31/10/2022 (v6.0),Arizona Coyotes,CEN,27.75
31/10/2022 (v6.0),Boston Bruins,ATL,8.25
31/10/2022 (v6.0),Buffalo Sabres,ATL,13.75
31/10/2022 (v6.0),Calgary Flames,CEN,6.0
31/10/2022 (v6.0),Carolina Hurricanes,MET,6.75
31/10/2022 (v6.0),Chicago Blackhawks,CEN,24.25
31/10/2022 (v6.0),Colorado Avalanche,CEN,12.25
31/10/2022 (v6.0),Columbus Blue Jackets,MET,25.5
31/10/2022 (v6.0),Dallas Stars,CEN,7.25
31/10/2022 (v6.0),Detroit Red Wings,ATL,18.0
31/10/2022 (v6.0),Edmonton Oilers,PAC,11.75
31/10/2022 (v6.0),Florida Panthers,ATL,12.0
31/10/2022 (v6.0),Los Angeles Kings,PAC,19.75
31/10/2022 (v6.0),Minnesota Wild,CEN,20.75
31/10/2022 (v6.0),Montréal Canadiens,ATL,21.25
31/10/2022 (v6.0),Nashville Predators,CEN,20.25
31/10/2022 (v6.0),New Jersey Devils,MET,16.5
31/10/2022 (v6.0),New York Islanders,MET,16.0
31/10/2022 (v6.0),New York Rangers,MET,8.5
31/10/2022 (v6.0),Ottawa Senators,ATL,18.75
31/10/2022 (v6.0),Philadelphia Flyers,MET,12.25
31/10/2022 (v6.0),Pittsburgh Penguins,MET,12.0
31/10/2022 (v6.0),San Jose Sharks,PAC,28.25
31/10/2022 (v6.0),Seattle Kraken,PAC,23.0
31/10/2022 (v6.0),St. Louis Blues,CEN,10.25
31/10/2022 (v6.0),Tampa Bay Lightning,ATL,15.25
31/10/2022 (v6.0),Toronto Maple Leafs,ATL,15.0
31/10/2022 (v6.0),Vancouver Canucks,PAC,27.5
31/10/2022 (v6.0),Vegas Golden Knights,PAC,7.25
31/10/2022 (v6.0),Washington Capitals,MET,16.0
31/10/2022 (v6.0),Winnipeg Jets,CEN,17.5
13/11/2022 (v6.2),Anaheim Ducks,PAC,29.2
13/11/2022 (v6.2),Arizona Coyotes,CEN,26.6
13/11/2022 (v6.2),Boston Bruins,ATL,6.8
13/11/2022 (v6.2),Buffalo Sabres,ATL,14.8
13/11/2022 (v6.2),Calgary Flames,CEN,8.2
13/11/2022 (v6.2),Carolina Hurricanes,MET,8.0
13/11/2022 (v6.2),Chicago Blackhawks,CEN,24.6
13/11/2022 (v6.2),Colorado Avalanche,CEN,11.2
13/11/2022 (v6.2),Columbus Blue Jackets,MET,26.6
13/11/2022 (v6.2),Dallas Stars,CEN,7.6
13/11/2022 (v6.2),Detroit Red Wings,ATL,19.2
13/11/2022 (v6.2),Edmonton Oilers,PAC,11.0
13/11/2022 (v6.2),Florida Panthers,ATL,12.8
13/11/2022 (v6.2),Los Angeles Kings,PAC,17.8
13/11/2022 (v6.2),Minnesota Wild,CEN,20.6
13/11/2022 (v6.2),Montréal Canadiens,ATL,21.2
13/11/2022 (v6.2),Nashville Predators,CEN,21.6
13/11/2022 (v6.2),New Jersey Devils,MET,13.6
13/11/2022 (v6.2),New York Islanders,MET,13.6
13/11/2022 (v6.2),New York Rangers,MET,9.8
13/11/2022 (v6.2),Ottawa Senators,ATL,19.6
13/11/2022 (v6.2),Philadelphia Flyers,MET,12.2
13/11/2022 (v6.2),Pittsburgh Penguins,MET,14.6
13/11/2022 (v6.2),San Jose Sharks,PAC,28.4
13/11/2022 (v6.2),Seattle Kraken,PAC,19.4
13/11/2022 (v6.2),St. Louis Blues,CEN,14.2
13/11/2022 (v6.2),Tampa Bay Lightning,ATL,15.0
13/11/2022 (v6.2),Toronto Maple Leafs,ATL,14.2
13/11/2022 (v6.2),Vancouver Canucks,PAC,27.6
13/11/2022 (v6.2),Vegas Golden Knights,PAC,6.4
13/11/2022 (v6.2),Washington Capitals,MET,16.4
13/11/2022 (v6.2),Winnipeg Jets,CEN,15.2
27/11/2022 (v6.2),Anaheim Ducks,PAC,29.666666666666668
27/11/2022 (v6.2),Arizona Coyotes,CEN,26.333333333333332
27/11/2022 (v6.2),Boston Bruins,ATL,6.0
27/11/2022 (v6.2),Buffalo Sabres,ATL,15.833333333333334
27/11/2022 (v6.2),Calgary Flames,CEN,10.0
27/11/2022 (v6.2),Carolina Hurricanes,MET,9.5
27/11/2022 (v6.2),Chicago Blackhawks,CEN,25.666666666666668
27/11/2022 (v6.2),Colorado Avalanche,CEN,10.333333333333334
27/11/2022 (v6.2),Columbus Blue Jackets,MET,27.0
27/11/2022 (v6.2),Dallas Stars,CEN,8.0
27/11/2022 (v6.2),Detroit Red Wings,ATL,17.833333333333332
27/11/2022 (v6.2),Edmonton Oilers,PAC,11.5
27/11/2022 (v6.2),Florida Panthers,ATL,13.333333333333334
27/11/2022 (v6.2),Los Angeles Kings,PAC,17.0
27/11/2022 (v6.2),Minnesota Wild,CEN,21.0
27/11/2022 (v6.2),Montréal Canadiens,ATL,22.166666666666668
27/11/2022 (v6.2),Nashville Predators,CEN,21.666666666666668
27/11/2022 (v6.2),New Jersey Devils,MET,11.5
27/11/2022 (v6.2),New York Islanders,MET,12.0
27/11/2022 (v6.2),New York Rangers,MET,10.666666666666666
27/11/2022 (v6.2),Ottawa Senators,ATL,20.666666666666668
27/11/2022 (v6.2),Philadelphia Flyers,MET,15.166666666666666
27/11/2022 (v6.2),Pittsburgh Penguins,MET,14.166666666666666
27/11/2022 (v6.2),San Jose Sharks,PAC,28.333333333333332
27/11/2022 (v6.2),Seattle Kraken,PAC,16.666666666666668
27/11/2022 (v6.2),St. Louis Blues,CEN,15.166666666666666
27/11/2022 (v6.2),Tampa Bay Lightning,ATL,13.833333333333334
27/11/2022 (v6.2),Toronto Maple Leafs,ATL,12.666666666666666
27/11/2022 (v6.2),Vancouver Canucks,PAC,26.0
27/11/2022 (v6.2),Vegas Golden Knights,PAC,6.5
27/11/2022 (v6.2),Washington Capitals,MET,17.666666666666668
27/11/2022 (v6.2),Winnipeg Jets,CEN,14.166666666666666
04/12/2022 (v6.2),Anaheim Ducks,PAC,30.0
04/12/2022 (v6.2),Arizona Coyotes,CEN,26.714285714285715
04/12/2022 (v6.2),Boston Bruins,ATL,5.285714285714286
04/12/2022 (v6.2),Buffalo Sabres,ATL,17.0
04/12/2022 (v6.2),Calgary Flames,CEN,10.571428571428571
04/12/2022 (v6.2),Carolina Hurricanes,MET,10.0
04/12/2022 (v6.2),Chicago Blackhawks,CEN,26.428571428571427
04/12/2022 (v6.2),Colorado Avalanche,CEN,10.428571428571429
04/12/2022 (v6.2),Columbus Blue Jackets,MET,26.714285714285715
04/12/2022 (v6.2),Dallas Stars,CEN,7.428571428571429
04/12/2022 (v6.2),Detroit Red Wings,ATL,18.142857142857142
04/12/2022 (v6.2),Edmonton Oilers,PAC,11.571428571428571
04/12/2022 (v6.2),Florida Panthers,ATL,13.857142857142858
04/12/2022 (v6.2),Los Angeles Kings,PAC,17.285714285714285
04/12/2022 (v6.2),Minnesota Wild,CEN,20.142857142857142
04/12/2022 (v6.2),Montréal Canadiens,ATL,22.714285714285715
04/12/2022 (v6.2),Nashville Predators,CEN,20.857142857142858
04/12/2022 (v6.2),New Jersey Devils,MET,10.142857142857142
04/12/2022 (v6.2),New York Islanders,MET,11.285714285714286
04/12/2022 (v6.2),New York Rangers,MET,11.714285714285714
04/12/2022 (v6.2),Ottawa Senators,ATL,20.714285714285715
04/12/2022 (v6.2),Philadelphia Flyers,MET,17.0
04/12/2022 (v6.2),Pittsburgh Penguins,MET,13.571428571428571
04/12/2022 (v6.2),San Jose Sharks,PAC,28.571428571428573
04/12/2022 (v6.2),Seattle Kraken,PAC,15.0
04/12/2022 (v6.2),St. Louis Blues,CEN,16.857142857142858
04/12/2022 (v6.2),Tampa Bay Lightning,ATL,12.714285714285714
04/12/2022 (v6.2),Toronto Maple Leafs,ATL,11.285714285714286
04/12/2022 (v6.2),Vancouver Canucks,PAC,25.428571428571427
04/12/2022 (v6.2),Vegas Golden Knights,PAC,6.857142857142857
04/12/2022 (v6.2),Washington Capitals,MET,18.428571428571427
04/12/2022 (v6.2),Winnipeg Jets,CEN,13.285714285714286
11/12/2022 (v6.4),Anaheim Ducks,PAC,30.25
11/12/2022 (v6.4),Arizona Coyotes,CEN,26.875
11/12/2022 (v6.4),Boston Bruins,ATL,4.75
11/12/2022 (v6.4),Buffalo Sabres,ATL,17.375
11/12/2022 (v6.4),Calgary Flames,CEN,10.875
11/12/2022 (v6.4),Carolina Hurricanes,MET,10.125
11/12/2022 (v6.4),Chicago Blackhawks,CEN,27.0
11/12/2022 (v6.4),Colorado Avalanche,CEN,11.125
11/12/2022 (v6.4),Columbus Blue Jackets,MET,27.0
11/12/2022 (v6.4),Dallas Stars,CEN,7.125
11/12/2022 (v6.4),Detroit Red Wings,ATL,18.5
11/12/2022 (v6.4),Edmonton Oilers,PAC,11.375
11/12/2022 (v6.4),Florida Panthers,ATL,14.375
11/12/2022 (v6.4),Los Angeles Kings,PAC,17.25
11/12/2022 (v6.4),Minnesota Wild,CEN,20.0
11/12/2022 (v6.4),Montréal Canadiens,ATL,23.0
11/12/2022 (v6.4),Nashville Predators,CEN,21.125
11/12/2022 (v6.4),New Jersey Devils,MET,9.125
11/12/2022 (v6.4),New York Islanders,MET,10.875
11/12/2022 (v6.4),New York Rangers,MET,12.0
11/12/2022 (v6.4),Ottawa Senators,ATL,20.875
11/12/2022 (v6.4),Philadelphia Flyers,MET,18.25
11/12/2022 (v6.4),Pittsburgh Penguins,MET,12.75
11/12/2022 (v6.4),San Jose Sharks,PAC,28.25
11/12/2022 (v6.4),Seattle Kraken,PAC,14.25
11/12/2022 (v6.4),St. Louis Blues,CEN,18.5
11/12/2022 (v6.4),Tampa Bay Lightning,ATL,11.875
11/12/2022 (v6.4),Toronto Maple Leafs,ATL,10.25
11/12/2022 (v6.4),Vancouver Canucks,PAC,25.25
11/12/2022 (v6.4),Vegas Golden Knights,PAC,7.5
11/12/2022 (v6.4),Washington Capitals,MET,18.0
11/12/2022 (v6.4),Winnipeg Jets,CEN,12.125
18/12/2022 (v6.4),Anaheim Ducks,PAC,30.444444444444443
18/12/2022 (v6.4),Arizona Coyotes,CEN,27.0
18/12/2022 (v6.4),Boston Bruins,ATL,4.333333333333333
18/12/2022 (v6.4),Buffalo Sabres,ATL,17.666666666666668
18/12/2022 (v6.4),Calgary Flames,CEN,11.444444444444445
18/12/2022 (v6.4),Carolina Hurricanes,MET,9.88888888888889
18/12/2022 (v6.4),Chicago Blackhawks,CEN,27.444444444444443
18/12/2022 (v6.4),Colorado Avalanche,CEN,11.777777777777779
18/12/2022 (v6.4),Columbus Blue Jackets,MET,27.333333333333332
18/12/2022 (v6.4),Dallas Stars,CEN,6.888888888888889
18/12/2022 (v6.4),Detroit Red Wings,ATL,19.0
18/12/2022 (v6.4),Edmonton Oilers,PAC,11.444444444444445
18/12/2022 (v6.4),Florida Panthers,ATL,14.88888888888889
18/12/2022 (v6.4),Los Angeles Kings,PAC,17.666666666666668
18/12/2022 (v6.4),Minnesota Wild,CEN,19.444444444444443
18/12/2022 (v6.4),Montréal Canadiens,ATL,23.666666666666668
18/12/2022 (v6.4),Nashville Predators,CEN,21.555555555555557
18/12/2022 (v6.4),New Jersey Devils,MET,8.444444444444445
18/12/2022 (v6.4),New York Islanders,MET,10.777777777777779
18/12/2022 (v6.4),New York Rangers,MET,11.666666666666666
18/12/2022 (v6.4),Ottawa Senators,ATL,20.555555555555557
18/12/2022 (v6.4),Philadelphia Flyers,MET,19.22222222222222
18/12/2022 (v6.4),Pittsburgh Penguins,MET,12.11111111111111
18/12/2022 (v6.4),San Jose Sharks,PAC,28.0
18/12/2022 (v6.4),Seattle Kraken,PAC,14.222222222222221
18/12/2022 (v6.4),St. Louis Blues,CEN,19.11111111111111
18/12/2022 (v6.4),Tampa Bay Lightning,ATL,10.777777777777779
18/12/2022 (v6.4),Toronto Maple Leafs,ATL,9.555555555555555
18/12/2022 (v6.4),Vancouver Canucks,PAC,24.88888888888889
18/12/2022 (v6.4),Vegas Golden Knights,PAC,8.11111111111111
18/12/2022 (v6.4),Washington Capitals,MET,17.22222222222222
18/12/2022 (v6.4),Winnipeg Jets,CEN,11.444444444444445
24/12/2022 (v6.5),Anaheim Ducks,PAC,30.6
24/12/2022 (v6.5),Arizona Coyotes,CEN,27.1
24/12/2022 (v6.5),Boston Bruins,ATL,4.0
24/12/2022 (v6.5),Buffalo Sabres,ATL,17.6
24/12/2022 (v6.5),Calgary Flames,CEN,11.7
24/12/2022 (v6.5),Carolina Hurricanes,MET,9.2
24/12/2022 (v6.5),Chicago Blackhawks,CEN,27.8
24/12/2022 (v6.5),Colorado Avalanche,CEN,12.1
24/12/2022 (v6.5),Columbus Blue Jackets,MET,27.6
24/12/2022 (v6.5),Dallas Stars,CEN,6.7
24/12/2022 (v6.5),Detroit Red Wings,ATL,19.5
24/12/2022 (v6.5),Edmonton Oilers,PAC,11.6
24/12/2022 (v6.5),Florida Panthers,ATL,15.5
24/12/2022 (v6.5),Los Angeles Kings,PAC,17.8
24/12/2022 (v6.5),Minnesota Wild,CEN,19.3
24/12/2022 (v6.5),Montréal Canadiens,ATL,24.2
24/12/2022 (v6.5),Nashville Predators,CEN,21.9
24/12/2022 (v6.5),New Jersey Devils,MET,8.0
24/12/2022 (v6.5),New York Islanders,MET,10.7
24/12/2022 (v6.5),New York Rangers,MET,11.3
24/12/2022 (v6.5),Ottawa Senators,ATL,20.5
24/12/2022 (v6.5),Philadelphia Flyers,MET,20.0
24/12/2022 (v6.5),Pittsburgh Penguins,MET,11.5
24/12/2022 (v6.5),San Jose Sharks,PAC,27.8
24/12/2022 (v6.5),Seattle Kraken,PAC,14.0
24/12/2022 (v6.5),St. Louis Blues,CEN,19.5
24/12/2022 (v6.5),Tampa Bay Lightning,ATL,10.4
24/12/2022 (v6.5),Toronto Maple Leafs,ATL,8.8
24/12/2022 (v6.5),Vancouver Canucks,PAC,24.6
24/12/2022 (v6.5),Vegas Golden Knights,PAC,8.9
24/12/2022 (v6.5),Washington Capitals,MET,16.4
24/12/2022 (v6.5),Winnipeg Jets,CEN,11.4
27/12/2022 (v6.5),Anaheim Ducks,PAC,30.727272727272727
27/12/2022 (v6.5),Arizona Coyotes,CEN,26.727272727272727
27/12/2022 (v6.5),Boston Bruins,ATL,3.727272727272727
27/12/2022 (v6.5),Buffalo Sabres,ATL,17.636363636363637
27/12/2022 (v6.5),Calgary Flames,CEN,11.909090909090908
27/12/2022 (v6.5),Carolina Hurricanes,MET,8.636363636363637
27/12/2022 (v6.5),Chicago Blackhawks,CEN,28.09090909090909
27/12/2022 (v6.5),Colorado Avalanche,CEN,12.545454545454545
27/12/2022 (v6.5),Columbus Blue Jackets,MET,27.818181818181817
27/12/2022 (v6.5),Dallas Stars,CEN,6.454545454545454
27/12/2022 (v6.5),Detroit Red Wings,ATL,20.0
27/12/2022 (v6.5),Edmonton Oilers,PAC,11.545454545454545
