Rating Date,Team,Division,Clutch Rating
17/10/2022 (v6.0),Anaheim Ducks,PAC,0.08342638607923365
17/10/2022 (v6.0),Arizona Coyotes,CEN,0.8657629401340711
17/10/2022 (v6.0),Boston Bruins,ATL,0.8657629401340711
17/10/2022 (v6.0),Buffalo Sabres,ATL,0.6091585527406748
17/10/2022 (v6.0),Calgary Flames,CEN,0.8657629401340711
17/10/2022 (v6.0),Carolina Hurricanes,MET,0.8657629401340711
17/10/2022 (v6.0),Chicago Blackhawks,CEN,0.6091585527406748
17/10/2022 (v6.0),Colorado Avalanche,CEN,0.8657629401340711
17/10/2022 (v6.0),Columbus Blue Jackets,MET,0.08342638607923365
17/10/2022 (v6.0),Dallas Stars,CEN,0.8657629401340711
17/10/2022 (v6.0),Detroit Red Wings,ATL,0.6091585527406748
17/10/2022 (v6.0),Edmonton Oilers,PAC,0.08342638607923365
17/10/2022 (v6.0),Florida Panthers,ATL,0.6091585527406748
17/10/2022 (v6.0),Los Angeles Kings,PAC,0.8007627107253217
17/10/2022 (v6.0),Minnesota Wild,CEN,0.08342638607923365
17/10/2022 (v6.0),Montréal Canadiens,ATL,0.08342638607923365
17/10/2022 (v6.0),Nashville Predators,CEN,0.6091585527406748
17/10/2022 (v6.0),New Jersey Devils,MET,0.08342638607923365
17/10/2022 (v6.0),New York Islanders,MET,0.8657629401340711
17/10/2022 (v6.0),New York Rangers,MET,0.8657629401340711
17/10/2022 (v6.0),Ottawa Senators,ATL,0.08342638607923365
17/10/2022 (v6.0),Philadelphia Flyers,MET,0.6091585527406748
17/10/2022 (v6.0),Pittsburgh Penguins,MET,0.7146614346387916
17/10/2022 (v6.0),San Jose Sharks,PAC,0.08342638607923365
17/10/2022 (v6.0),Seattle Kraken,PAC,0.27359663615137475
17/10/2022 (v6.0),St. Louis Blues,CEN,0.27359663615137475
17/10/2022 (v6.0),Tampa Bay Lightning,ATL,0.8657629401340711
17/10/2022 (v6.0),Toronto Maple Leafs,ATL,0.08342638607923365
17/10/2022 (v6.0),Vancouver Canucks,PAC,0.08342638607923365
17/10/2022 (v6.0),Vegas Golden Knights,PAC,0.8657629401340711
17/10/2022 (v6.0),Washington Capitals,MET,0.6091585527406748
17/10/2022 (v6.0),Winnipeg Jets,CEN,0.8657629401340711
22/10/2022 (v6.0),Anaheim Ducks,PAC,0.027697489366861366
22/10/2022 (v6.0),Arizona Coyotes,CEN,0.82308012102305
22/10/2022 (v6.0),Boston Bruins,ATL,0.82308012102305
22/10/2022 (v6.0),Buffalo Sabres,ATL,0.82308012102305
22/10/2022 (v6.0),Calgary Flames,CEN,0.82308012102305
22/10/2022 (v6.0),Carolina Hurricanes,MET,0.665538849432373
22/10/2022 (v6.0),Chicago Blackhawks,CEN,0.45978604395031725
22/10/2022 (v6.0),Colorado Avalanche,CEN,0.82308012102305
22/10/2022 (v6.0),Columbus Blue Jackets,MET,0.027697489366861366
22/10/2022 (v6.0),Dallas Stars,CEN,0.7254653644221529
22/10/2022 (v6.0),Detroit Red Wings,ATL,0.13473049063917683
22/10/2022 (v6.0),Edmonton Oilers,PAC,0.82308012102305
22/10/2022 (v6.0),Florida Panthers,ATL,0.6001560173027835
22/10/2022 (v6.0),Los Angeles Kings,PAC,0.46020796596950825
22/10/2022 (v6.0),Minnesota Wild,CEN,0.027697489366861366
22/10/2022 (v6.0),Montréal Canadiens,ATL,0.82308012102305
22/10/2022 (v6.0),Nashville Predators,CEN,0.13473049063917683
22/10/2022 (v6.0),New Jersey Devils,MET,0.45978604395031725
22/10/2022 (v6.0),New York Islanders,MET,0.82308012102305
22/10/2022 (v6.0),New York Rangers,MET,0.82308012102305
22/10/2022 (v6.0),Ottawa Senators,ATL,0.665538849432373
22/10/2022 (v6.0),Philadelphia Flyers,MET,0.82308012102305
22/10/2022 (v6.0),Pittsburgh Penguins,MET,0.665538849432373
22/10/2022 (v6.0),San Jose Sharks,PAC,0.038471256193034056
22/10/2022 (v6.0),Seattle Kraken,PAC,0.2154391935998763
22/10/2022 (v6.0),St. Louis Blues,CEN,0.82308012102305
22/10/2022 (v6.0),Tampa Bay Lightning,ATL,0.6001560173027835
22/10/2022 (v6.0),Toronto Maple Leafs,ATL,0.45978604395031725
22/10/2022 (v6.0),Vancouver Canucks,PAC,0.027697489366861366
22/10/2022 (v6.0),Vegas Golden Knights,PAC,0.7254653644221529
22/10/2022 (v6.0),Washington Capitals,MET,0.45978604395031725
22/10/2022 (v6.0),Winnipeg Jets,CEN,0.82308012102305
31/10/2022 (v6.0),Anaheim Ducks,PAC,0.004152731204582547
31/10/2022 (v6.0),Arizona Coyotes,CEN,0.320591276588223
31/10/2022 (v6.0),Boston Bruins,ATL,0.83338156580789
31/10/2022 (v6.0),Buffalo Sabres,ATL,0.83338156580789
31/10/2022 (v6.0),Calgary Flames,CEN,0.6054397209744625
31/10/2022 (v6.0),Carolina Hurricanes,MET,0.7347746774483316
31/10/2022 (v6.0),Chicago Blackhawks,CEN,0.126195848115419
31/10/2022 (v6.0),Colorado Avalanche,CEN,0.6054397209744625
31/10/2022 (v6.0),Columbus Blue Jackets,MET,0.6054397209744625
31/10/2022 (v6.0),Dallas Stars,CEN,0.6602713122830148
31/10/2022 (v6.0),Detroit Red Wings,ATL,0.32007675951305764
31/10/2022 (v6.0),Edmonton Oilers,PAC,0.83338156580789
31/10/2022 (v6.0),Florida Panthers,ATL,0.6602713122830148
31/10/2022 (v6.0),Los Angeles Kings,PAC,0.4688387569414506
31/10/2022 (v6.0),Minnesota Wild,CEN,0.83338156580789
31/10/2022 (v6.0),Montréal Canadiens,ATL,0.83338156580789
31/10/2022 (v6.0),Nashville Predators,CEN,0.06636086448766203
31/10/2022 (v6.0),New Jersey Devils,MET,0.6948384779599465
31/10/2022 (v6.0),New York Islanders,MET,0.83338156580789
31/10/2022 (v6.0),New York Rangers,MET,0.83338156580789
31/10/2022 (v6.0),Ottawa Senators,ATL,0.6054397209744625
31/10/2022 (v6.0),Philadelphia Flyers,MET,0.83338156580789
31/10/2022 (v6.0),Pittsburgh Penguins,MET,0.41125881115393
31/10/2022 (v6.0),San Jose Sharks,PAC,0.1353252515131887
31/10/2022 (v6.0),Seattle Kraken,PAC,0.24127336129311405
31/10/2022 (v6.0),St. Louis Blues,CEN,0.83338156580789
31/10/2022 (v6.0),Tampa Bay Lightning,ATL,0.6054397209744625
31/10/2022 (v6.0),Toronto Maple Leafs,ATL,0.04242674163630661
31/10/2022 (v6.0),Vancouver Canucks,PAC,0.023952829898332667
31/10/2022 (v6.0),Vegas Golden Knights,PAC,0.7712054037918293
31/10/2022 (v6.0),Washington Capitals,MET,0.32007675951305764
31/10/2022 (v6.0),Winnipeg Jets,CEN,0.83338156580789
13/11/2022 (v6.2),Anaheim Ducks,PAC,0.007521430561179585
13/11/2022 (v6.2),Arizona Coyotes,CEN,0.46888085810433705
13/11/2022 (v6.2),Boston Bruins,ATL,0.8715153864612494
13/11/2022 (v6.2),Buffalo Sabres,ATL,0.7746465878396357
13/11/2022 (v6.2),Calgary Flames,CEN,0.27214586608033553
13/11/2022 (v6.2),Carolina Hurricanes,MET,0.7571030403203812
13/11/2022 (v6.2),Chicago Blackhawks,CEN,0.06800597468684987
13/11/2022 (v6.2),Colorado Avalanche,CEN,0.7746465878396357
13/11/2022 (v6.2),Columbus Blue Jackets,MET,0.7328402259502105
13/11/2022 (v6.2),Dallas Stars,CEN,0.7746465878396357
13/11/2022 (v6.2),Detroit Red Wings,ATL,0.3699456291200115
13/11/2022 (v6.2),Edmonton Oilers,PAC,0.7323075975938811
13/11/2022 (v6.2),Florida Panthers,ATL,0.6787603891737763
13/11/2022 (v6.2),Los Angeles Kings,PAC,0.5816117934995276
13/11/2022 (v6.2),Minnesota Wild,CEN,0.8715153864612494
13/11/2022 (v6.2),Montréal Canadiens,ATL,0.8715153864612494
13/11/2022 (v6.2),Nashville Predators,CEN,0.268926682819253
13/11/2022 (v6.2),New Jersey Devils,MET,0.8115928089069866
13/11/2022 (v6.2),New York Islanders,MET,0.8715153864612494
13/11/2022 (v6.2),New York Rangers,MET,0.3096820292023071
13/11/2022 (v6.2),Ottawa Senators,ATL,0.22125700091332373
13/11/2022 (v6.2),Philadelphia Flyers,MET,0.8715153864612494
13/11/2022 (v6.2),Pittsburgh Penguins,MET,0.10305796013291939
13/11/2022 (v6.2),San Jose Sharks,PAC,0.08049986882076703
13/11/2022 (v6.2),Seattle Kraken,PAC,0.46888085810433705
13/11/2022 (v6.2),St. Louis Blues,CEN,0.7746465878396357
13/11/2022 (v6.2),Tampa Bay Lightning,ATL,0.4352223325273917
13/11/2022 (v6.2),Toronto Maple Leafs,ATL,0.17835795145398187
13/11/2022 (v6.2),Vancouver Canucks,PAC,0.01839508257935833
13/11/2022 (v6.2),Vegas Golden Knights,PAC,0.8284356417470493
13/11/2022 (v6.2),Washington Capitals,MET,0.268926682819253
13/11/2022 (v6.2),Winnipeg Jets,CEN,0.8715153864612494
27/11/2022 (v6.2),Anaheim Ducks,PAC,0.5058391962676017
27/11/2022 (v6.2),Arizona Coyotes,CEN,0.2686470398752202
27/11/2022 (v6.2),Boston Bruins,ATL,0.9117395520976344
27/11/2022 (v6.2),Buffalo Sabres,ATL,0.8444394366607173
27/11/2022 (v6.2),Calgary Flames,CEN,0.4160987697944892
27/11/2022 (v6.2),Carolina Hurricanes,MET,0.19625000159244452
27/11/2022 (v6.2),Chicago Blackhawks,CEN,0.007704691130371458
27/11/2022 (v6.2),Colorado Avalanche,CEN,0.6599181324532625
27/11/2022 (v6.2),Columbus Blue Jackets,MET,0.8269972877883981
