Rating Date,Team,Division,Defensive Rating
13/11/2022 (v6.2),Anaheim Ducks,PAC,0.161475479712518
13/11/2022 (v6.2),Arizona Coyotes,CEN,0.2821101848377368
13/11/2022 (v6.2),Boston Bruins,ATL,0.8647068643757694
13/11/2022 (v6.2),Buffalo Sabres,ATL,0.769080697457056
13/11/2022 (v6.2),Calgary Flames,CEN,0.48853433888808484
13/11/2022 (v6.2),Carolina Hurricanes,MET,0.497776821002846
13/11/2022 (v6.2),Chicago Blackhawks,CEN,0.21232350302646347
13/11/2022 (v6.2),Colorado Avalanche,CEN,0.8556440226959541
13/11/2022 (v6.2),Columbus Blue Jackets,MET,0.17892591805283203
13/11/2022 (v6.2),Dallas Stars,CEN,0.7223756047907905
13/11/2022 (v6.2),Detroit Red Wings,ATL,0.2668631702312893
13/11/2022 (v6.2),Edmonton Oilers,PAC,0.8230105258149254
13/11/2022 (v6.2),Florida Panthers,ATL,0.5723871680782295
13/11/2022 (v6.2),Los Angeles Kings,PAC,0.5673527150859338
13/11/2022 (v6.2),Minnesota Wild,CEN,0.3971679459259244
13/11/2022 (v6.2),Montréal Canadiens,ATL,0.3522780005187746
13/11/2022 (v6.2),Nashville Predators,CEN,0.13842028100421036
13/11/2022 (v6.2),New Jersey Devils,MET,0.8145751533651336
13/11/2022 (v6.2),New York Islanders,MET,0.5627490337253689
13/11/2022 (v6.2),New York Rangers,MET,0.5566275305579486
13/11/2022 (v6.2),Ottawa Senators,ATL,0.7230693493547259
13/11/2022 (v6.2),Philadelphia Flyers,MET,0.1399606459124914
13/11/2022 (v6.2),Pittsburgh Penguins,MET,0.7409985377637286
13/11/2022 (v6.2),San Jose Sharks,PAC,0.2535740727688709
13/11/2022 (v6.2),Seattle Kraken,PAC,0.5664392933898018
13/11/2022 (v6.2),St. Louis Blues,CEN,0.16398314133073444
13/11/2022 (v6.2),Tampa Bay Lightning,ATL,0.43827526616277407
13/11/2022 (v6.2),Toronto Maple Leafs,ATL,0.4037403483054497
13/11/2022 (v6.2),Vancouver Canucks,PAC,0.6516884110945224
13/11/2022 (v6.2),Vegas Golden Knights,PAC,0.8187454999032695
13/11/2022 (v6.2),Washington Capitals,MET,0.27566447441619785
13/11/2022 (v6.2),Winnipeg Jets,CEN,0.3863030420223053
27/11/2022 (v6.2),Anaheim Ducks,PAC,0.11287536835435001
27/11/2022 (v6.2),Arizona Coyotes,CEN,0.20272816538010985
27/11/2022 (v6.2),Boston Bruins,ATL,0.9377744114903718
27/11/2022 (v6.2),Buffalo Sabres,ATL,0.7957240264051233
27/11/2022 (v6.2),Calgary Flames,CEN,0.4451236899973232
27/11/2022 (v6.2),Carolina Hurricanes,MET,0.36277370212728016
27/11/2022 (v6.2),Chicago Blackhawks,CEN,0.12701632021914508
27/11/2022 (v6.2),Colorado Avalanche,CEN,0.811012999519483
27/11/2022 (v6.2),Columbus Blue Jackets,MET,0.23286224452786142
27/11/2022 (v6.2),Dallas Stars,CEN,0.8182458654859781
27/11/2022 (v6.2),Detroit Red Wings,ATL,0.4994310230623001
27/11/2022 (v6.2),Edmonton Oilers,PAC,0.7082093162414894
27/11/2022 (v6.2),Florida Panthers,ATL,0.7544522298063624
27/11/2022 (v6.2),Los Angeles Kings,PAC,0.5685533383222564
27/11/2022 (v6.2),Minnesota Wild,CEN,0.3538569370372802
