Rating Date,Team,Division,Offensive Rating
17/10/2022 (v6.0),Anaheim Ducks,PAC,1.0
17/10/2022 (v6.0),Arizona Coyotes,CEN,1.0
17/10/2022 (v6.0),Boston Bruins,ATL,1.0
17/10/2022 (v6.0),Buffalo Sabres,ATL,1.0
17/10/2022 (v6.0),Calgary Flames,CEN,1.0
17/10/2022 (v6.0),Carolina Hurricanes,MET,1.0
17/10/2022 (v6.0),Chicago Blackhawks,CEN,1.0
17/10/2022 (v6.0),Colorado Avalanche,CEN,1.0
17/10/2022 (v6.0),Columbus Blue Jackets,MET,1.0
17/10/2022 (v6.0),Dallas Stars,CEN,1.0
17/10/2022 (v6.0),Detroit Red Wings,ATL,1.0
17/10/2022 (v6.0),Edmonton Oilers,PAC,1.0
17/10/2022 (v6.0),Florida Panthers,ATL,1.0
17/10/2022 (v6.0),Los Angeles Kings,PAC,1.0
17/10/2022 (v6.0),Minnesota Wild,CEN,1.0
17/10/2022 (v6.0),Montréal Canadiens,ATL,1.0
17/10/2022 (v6.0),Nashville Predators,CEN,1.0
17/10/2022 (v6.0),New Jersey Devils,MET,1.0
17/10/2022 (v6.0),New York Islanders,MET,1.0
17/10/2022 (v6.0),New York Rangers,MET,1.0
17/10/2022 (v6.0),Ottawa Senators,ATL,1.0
17/10/2022 (v6.0),Philadelphia Flyers,MET,1.0
17/10/2022 (v6.0),Pittsburgh Penguins,MET,1.0
17/10/2022 (v6.0),San Jose Sharks,PAC,1.0
17/10/2022 (v6.0),Seattle Kraken,PAC,1.0
17/10/2022 (v6.0),St. Louis Blues,CEN,1.0
17/10/2022 (v6.0),Tampa Bay Lightning,ATL,1.0
17/10/2022 (v6.0),Toronto Maple Leafs,ATL,1.0
17/10/2022 (v6.0),Vancouver Canucks,PAC,1.0
17/10/2022 (v6.0),Vegas Golden Knights,PAC,1.0
17/10/2022 (v6.0),Washington Capitals,MET,1.0
17/10/2022 (v6.0),Winnipeg Jets,CEN,1.0
22/10/2022 (v6.0),Anaheim Ducks,PAC,1.0
22/10/2022 (v6.0),Arizona Coyotes,CEN,1.0
22/10/2022 (v6.0),Boston Bruins,ATL,1.0
22/10/2022 (v6.0),Buffalo Sabres,ATL,1.0
22/10/2022 (v6.0),Calgary Flames,CEN,1.0
22/10/2022 (v6.0),Carolina Hurricanes,MET,1.0
22/10/2022 (v6.0),Chicago Blackhawks,CEN,1.0
22/10/2022 (v6.0),Colorado Avalanche,CEN,1.0
22/10/2022 (v6.0),Columbus Blue Jackets,MET,1.0
22/10/2022 (v6.0),Dallas Stars,CEN,1.0
22/10/2022 (v6.0),Detroit Red Wings,ATL,1.0
22/10/2022 (v6.0),Edmonton Oilers,PAC,1.0
22/10/2022 (v6.0),Florida Panthers,ATL,1.0
22/10/2022 (v6.0),Los Angeles Kings,PAC,1.0
22/10/2022 (v6.0),Minnesota Wild,CEN,1.0
22/10/2022 (v6.0),Montréal Canadiens,ATL,1.0
22/10/2022 (v6.0),Nashville Predators,CEN,1.0
22/10/2022 (v6.0),New Jersey Devils,MET,1.0
22/10/2022 (v6.0),New York Islanders,MET,1.0
22/10/2022 (v6.0),New York Rangers,MET,1.0
22/10/2022 (v6.0),Ottawa Senators,ATL,1.0
22/10/2022 (v6.0),Philadelphia Flyers,MET,1.0
22/10/2022 (v6.0),Pittsburgh Penguins,MET,1.0
22/10/2022 (v6.0),San Jose Sharks,PAC,1.0
22/10/2022 (v6.0),Seattle Kraken,PAC,1.0
22/10/2022 (v6.0),St. Louis Blues,CEN,1.0
22/10/2022 (v6.0),Tampa Bay Lightning,ATL,1.0
22/10/2022 (v6.0),Toronto Maple Leafs,ATL,1.0
22/10/2022 (v6.0),Vancouver Canucks,PAC,1.0
22/10/2022 (v6.0),Vegas Golden Knights,PAC,1.0
22/10/2022 (v6.0),Washington Capitals,MET,1.0
22/10/2022 (v6.0),Winnipeg Jets,CEN,1.0
31/10/2022 (v6.0),Anaheim Ducks,PAC,1.0
31/10/2022 (v6.0),Arizona Coyotes,CEN,1.0
31/10/2022 (v6.0),Boston Bruins,ATL,1.0
31/10/2022 (v6.0),Buffalo Sabres,ATL,1.0
31/10/2022 (v6.0),Calgary Flames,CEN,1.0
31/10/2022 (v6.0),Carolina Hurricanes,MET,1.0
31/10/2022 (v6.0),Chicago Blackhawks,CEN,1.0
31/10/2022 (v6.0),Colorado Avalanche,CEN,1.0
31/10/2022 (v6.0),Columbus Blue Jackets,MET,1.0
31/10/2022 (v6.0),Dallas Stars,CEN,1.0
31/10/2022 (v6.0),Detroit Red Wings,ATL,1.0
31/10/2022 (v6.0),Edmonton Oilers,PAC,1.0
31/10/2022 (v6.0),Florida Panthers,ATL,1.0
31/10/2022 (v6.0),Los Angeles Kings,PAC,1.0
31/10/2022 (v6.0),Minnesota Wild,CEN,1.0
31/10/2022 (v6.0),Montréal Canadiens,ATL,1.0
31/10/2022 (v6.0),Nashville Predators,CEN,1.0
31/10/2022 (v6.0),New Jersey Devils,MET,1.0
31/10/2022 (v6.0),New York Islanders,MET,1.0
31/10/2022 (v6.0),New York Rangers,MET,1.0
31/10/2022 (v6.0),Ottawa Senators,ATL,1.0
31/10/2022 (v6.0),Philadelphia Flyers,MET,1.0
31/10/2022 (v6.0),Pittsburgh Penguins,MET,1.0
31/10/2022 (v6.0),San Jose Sharks,PAC,1.0
31/10/2022 (v6.0),Seattle Kraken,PAC,1.0
31/10/2022 (v6.0),St. Louis Blues,CEN,1.0
31/10/2022 (v6.0),Tampa Bay Lightning,ATL,1.0
31/10/2022 (v6.0),Toronto Maple Leafs,ATL,1.0
31/10/2022 (v6.0),Vancouver Canucks,PAC,1.0
31/10/2022 (v6.0),Vegas Golden Knights,PAC,1.0
31/10/2022 (v6.0),Washington Capitals,MET,1.0
31/10/2022 (v6.0),Winnipeg Jets,CEN,1.0
13/11/2022 (v6.2),Anaheim Ducks,PAC,0.161475479712518
13/11/2022 (v6.2),Arizona Coyotes,CEN,0.2821101848377368
13/11/2022 (v6.2),Boston Bruins,ATL,0.8647068643757694
13/11/2022 (v6.2),Buffalo Sabres,ATL,0.769080697457056
13/11/2022 (v6.2),Calgary Flames,CEN,0.48853433888808484
13/11/2022 (v6.2),Carolina Hurricanes,MET,0.497776821002846
