Rating Date,Team,Division,Win Rating
17/10/2022 (v6.0),Anaheim Ducks,PAC,0.22221999999999997
17/10/2022 (v6.0),Arizona Coyotes,CEN,0.33333333333333337
17/10/2022 (v6.0),Boston Bruins,ATL,1.0
17/10/2022 (v6.0),Buffalo Sabres,ATL,0.5
17/10/2022 (v6.0),Calgary Flames,CEN,1.0
17/10/2022 (v6.0),Carolina Hurricanes,MET,1.0
17/10/2022 (v6.0),Chicago Blackhawks,CEN,0.33333333333333337
17/10/2022 (v6.0),Colorado Avalanche,CEN,0.6666666666666667
17/10/2022 (v6.0),Columbus Blue Jackets,MET,0.0
17/10/2022 (v6.0),Dallas Stars,CEN,1.0
17/10/2022 (v6.0),Detroit Red Wings,ATL,0.7777766666666666
17/10/2022 (v6.0),Edmonton Oilers,PAC,0.5
17/10/2022 (v6.0),Florida Panthers,ATL,0.6666666666666667
17/10/2022 (v6.0),Los Angeles Kings,PAC,0.416665
17/10/2022 (v6.0),Minnesota Wild,CEN,0.0
17/10/2022 (v6.0),Montréal Canadiens,ATL,0.416665
17/10/2022 (v6.0),Nashville Predators,CEN,0.5
17/10/2022 (v6.0),New Jersey Devils,MET,0.0
17/10/2022 (v6.0),New York Islanders,MET,0.5
17/10/2022 (v6.0),New York Rangers,MET,0.75
17/10/2022 (v6.0),Ottawa Senators,ATL,0.0
17/10/2022 (v6.0),Philadelphia Flyers,MET,1.0
17/10/2022 (v6.0),Pittsburgh Penguins,MET,0.7777766666666666
17/10/2022 (v6.0),San Jose Sharks,PAC,0.0
17/10/2022 (v6.0),Seattle Kraken,PAC,0.3333325
17/10/2022 (v6.0),St. Louis Blues,CEN,1.0
17/10/2022 (v6.0),Tampa Bay Lightning,ATL,0.33333333333333337
17/10/2022 (v6.0),Toronto Maple Leafs,ATL,0.5
17/10/2022 (v6.0),Vancouver Canucks,PAC,0.0
17/10/2022 (v6.0),Vegas Golden Knights,PAC,1.0
17/10/2022 (v6.0),Washington Capitals,MET,0.5
17/10/2022 (v6.0),Winnipeg Jets,CEN,0.5
22/10/2022 (v6.0),Anaheim Ducks,PAC,0.199998
22/10/2022 (v6.0),Arizona Coyotes,CEN,0.2
22/10/2022 (v6.0),Boston Bruins,ATL,0.6277766666666666
22/10/2022 (v6.0),Buffalo Sabres,ATL,0.8
22/10/2022 (v6.0),Calgary Flames,CEN,0.7333320000000001
22/10/2022 (v6.0),Carolina Hurricanes,MET,0.6666659999999999
22/10/2022 (v6.0),Chicago Blackhawks,CEN,0.416665
22/10/2022 (v6.0),Colorado Avalanche,CEN,0.5555549999999999
22/10/2022 (v6.0),Columbus Blue Jackets,MET,0.27777666666666667
22/10/2022 (v6.0),Dallas Stars,CEN,0.8666659999999999
22/10/2022 (v6.0),Detroit Red Wings,ATL,0.666665
22/10/2022 (v6.0),Edmonton Oilers,PAC,0.4
22/10/2022 (v6.0),Florida Panthers,ATL,0.6666659999999999
22/10/2022 (v6.0),Los Angeles Kings,PAC,0.25238
22/10/2022 (v6.0),Minnesota Wild,CEN,0.199998
22/10/2022 (v6.0),Montréal Canadiens,ATL,0.4444433333333333
22/10/2022 (v6.0),Nashville Predators,CEN,0.33333285714285715
22/10/2022 (v6.0),New Jersey Devils,MET,0.6
22/10/2022 (v6.0),New York Islanders,MET,0.4
22/10/2022 (v6.0),New York Rangers,MET,0.6666659999999999
22/10/2022 (v6.0),Ottawa Senators,ATL,0.6
22/10/2022 (v6.0),Philadelphia Flyers,MET,0.8
22/10/2022 (v6.0),Pittsburgh Penguins,MET,0.8666659999999999
22/10/2022 (v6.0),San Jose Sharks,PAC,0.09523714285714285
22/10/2022 (v6.0),Seattle Kraken,PAC,0.4444433333333333
22/10/2022 (v6.0),St. Louis Blues,CEN,0.8888866666666666
22/10/2022 (v6.0),Tampa Bay Lightning,ATL,0.4444433333333333
22/10/2022 (v6.0),Toronto Maple Leafs,ATL,0.6111099999999999
22/10/2022 (v6.0),Vancouver Canucks,PAC,0.11110999999999999
22/10/2022 (v6.0),Vegas Golden Knights,PAC,0.6666666666666667
22/10/2022 (v6.0),Washington Capitals,MET,0.5
22/10/2022 (v6.0),Winnipeg Jets,CEN,0.33333199999999996
31/10/2022 (v6.0),Anaheim Ducks,PAC,0.1851833333333333
31/10/2022 (v6.0),Arizona Coyotes,CEN,0.29166625
31/10/2022 (v6.0),Boston Bruins,ATL,0.751851111111111
31/10/2022 (v6.0),Buffalo Sabres,ATL,0.6296288888888888
31/10/2022 (v6.0),Calgary Flames,CEN,0.6666657142857143
31/10/2022 (v6.0),Carolina Hurricanes,MET,0.5666655555555556
31/10/2022 (v6.0),Chicago Blackhawks,CEN,0.48147999999999996
31/10/2022 (v6.0),Colorado Avalanche,CEN,0.38148111111111105
31/10/2022 (v6.0),Columbus Blue Jackets,MET,0.266666
31/10/2022 (v6.0),Dallas Stars,CEN,0.5925922222222222
31/10/2022 (v6.0),Detroit Red Wings,ATL,0.5185177777777777
31/10/2022 (v6.0),Edmonton Oilers,PAC,0.6666666666666667
31/10/2022 (v6.0),Florida Panthers,ATL,0.5925922222222222
31/10/2022 (v6.0),Los Angeles Kings,PAC,0.43333272727272726
31/10/2022 (v6.0),Minnesota Wild,CEN,0.3444433333333333
31/10/2022 (v6.0),Montréal Canadiens,ATL,0.5185177777777777
31/10/2022 (v6.0),Nashville Predators,CEN,0.37037
31/10/2022 (v6.0),New Jersey Devils,MET,0.6666666666666667
31/10/2022 (v6.0),New York Islanders,MET,0.5555555555555556
31/10/2022 (v6.0),New York Rangers,MET,0.566666
31/10/2022 (v6.0),Ottawa Senators,ATL,0.5
31/10/2022 (v6.0),Philadelphia Flyers,MET,0.66666625
31/10/2022 (v6.0),Pittsburgh Penguins,MET,0.4814811111111111
31/10/2022 (v6.0),San Jose Sharks,PAC,0.21212
31/10/2022 (v6.0),Seattle Kraken,PAC,0.466666
31/10/2022 (v6.0),St. Louis Blues,CEN,0.3333325
31/10/2022 (v6.0),Tampa Bay Lightning,ATL,0.5185177777777777
31/10/2022 (v6.0),Toronto Maple Leafs,ATL,0.433332
31/10/2022 (v6.0),Vancouver Canucks,PAC,0.29629555555555553
31/10/2022 (v6.0),Vegas Golden Knights,PAC,0.7666659999999998
31/10/2022 (v6.0),Washington Capitals,MET,0.533333
31/10/2022 (v6.0),Winnipeg Jets,CEN,0.5185166666666666
13/11/2022 (v6.2),Anaheim Ducks,PAC,0.12444333333333332
13/11/2022 (v6.2),Arizona Coyotes,CEN,0.45238071428571425
13/11/2022 (v6.2),Boston Bruins,ATL,0.7622213333333333
13/11/2022 (v6.2),Buffalo Sabres,ATL,0.44444399999999995
13/11/2022 (v6.2),Calgary Flames,CEN,0.45237999999999995
13/11/2022 (v6.2),Carolina Hurricanes,MET,0.4799993333333332
13/11/2022 (v6.2),Chicago Blackhawks,CEN,0.45237928571428576
13/11/2022 (v6.2),Colorado Avalanche,CEN,0.5717946153846154
13/11/2022 (v6.2),Columbus Blue Jackets,MET,0.28571357142857146
13/11/2022 (v6.2),Dallas Stars,CEN,0.5952378571428572
13/11/2022 (v6.2),Detroit Red Wings,ATL,0.51111
13/11/2022 (v6.2),Edmonton Oilers,PAC,0.5625
13/11/2022 (v6.2),Florida Panthers,ATL,0.4955553333333333
13/11/2022 (v6.2),Los Angeles Kings,PAC,0.515685294117647
13/11/2022 (v6.2),Minnesota Wild,CEN,0.43571357142857137
13/11/2022 (v6.2),Montréal Canadiens,ATL,0.45110999999999996
13/11/2022 (v6.2),Nashville Predators,CEN,0.362222
13/11/2022 (v6.2),New Jersey Devils,MET,0.7555546666666666
13/11/2022 (v6.2),New York Islanders,MET,0.5833325
13/11/2022 (v6.2),New York Rangers,MET,0.479165625
13/11/2022 (v6.2),Ottawa Senators,ATL,0.38095214285714285
13/11/2022 (v6.2),Philadelphia Flyers,MET,0.5476185714285714
13/11/2022 (v6.2),Pittsburgh Penguins,MET,0.466666
13/11/2022 (v6.2),San Jose Sharks,PAC,0.270831875
13/11/2022 (v6.2),Seattle Kraken,PAC,0.5777773333333333
13/11/2022 (v6.2),St. Louis Blues,CEN,0.35897384615384614
13/11/2022 (v6.2),Tampa Bay Lightning,ATL,0.49999928571428565
13/11/2022 (v6.2),Toronto Maple Leafs,ATL,0.5416656249999999
13/11/2022 (v6.2),Vancouver Canucks,PAC,0.33333266666666667
