Rating Date,Team,Division,Strength of Schedule
17/10/2022 (v6.0),Anaheim Ducks,PAC,0.1986125826906644
17/10/2022 (v6.0),Arizona Coyotes,CEN,0.2324598095377728
17/10/2022 (v6.0),Boston Bruins,ATL,0.9251903118758734
17/10/2022 (v6.0),Buffalo Sabres,ATL,0.5146819275899209
17/10/2022 (v6.0),Calgary Flames,CEN,0.910073865943591
17/10/2022 (v6.0),Carolina Hurricanes,MET,0.9318403979691114
17/10/2022 (v6.0),Chicago Blackhawks,CEN,0.29034663028017
17/10/2022 (v6.0),Colorado Avalanche,CEN,0.7131910253994225
17/10/2022 (v6.0),Columbus Blue Jackets,MET,0.05740027352952097
17/10/2022 (v6.0),Dallas Stars,CEN,0.9379389891948271
17/10/2022 (v6.0),Detroit Red Wings,ATL,0.7706005333182692
17/10/2022 (v6.0),Edmonton Oilers,PAC,0.47710562706568144
17/10/2022 (v6.0),Florida Panthers,ATL,0.6704935174757571
17/10/2022 (v6.0),Los Angeles Kings,PAC,0.40313633497125256
17/10/2022 (v6.0),Minnesota Wild,CEN,0.05740027352952097
17/10/2022 (v6.0),Montréal Canadiens,ATL,0.40313633497125256
17/10/2022 (v6.0),Nashville Predators,CEN,0.43978670568128675
17/10/2022 (v6.0),New Jersey Devils,MET,0.05740027352952097
17/10/2022 (v6.0),New York Islanders,MET,0.5520929704818354
17/10/2022 (v6.0),New York Rangers,MET,0.7661397505230333
17/10/2022 (v6.0),Ottawa Senators,ATL,0.06609963794025533
17/10/2022 (v6.0),Philadelphia Flyers,MET,0.921645939106722
17/10/2022 (v6.0),Pittsburgh Penguins,MET,0.804115881760591
17/10/2022 (v6.0),San Jose Sharks,PAC,0.06609963794025536
17/10/2022 (v6.0),Seattle Kraken,PAC,0.22801778929314898
17/10/2022 (v6.0),St. Louis Blues,CEN,0.9318403979691114
17/10/2022 (v6.0),Tampa Bay Lightning,ATL,0.27013088936112845
17/10/2022 (v6.0),Toronto Maple Leafs,ATL,0.47710562706568144
17/10/2022 (v6.0),Vancouver Canucks,PAC,0.07601112550662101
17/10/2022 (v6.0),Vegas Golden Knights,PAC,0.9179485319746586
17/10/2022 (v6.0),Washington Capitals,MET,0.45838780936564594
17/10/2022 (v6.0),Winnipeg Jets,CEN,0.47710562706568144
22/10/2022 (v6.0),Anaheim Ducks,PAC,0.1263646109286508
22/10/2022 (v6.0),Arizona Coyotes,CEN,0.014549955924430445
22/10/2022 (v6.0),Boston Bruins,ATL,0.33060867659844356
22/10/2022 (v6.0),Buffalo Sabres,ATL,0.9807774396979192
22/10/2022 (v6.0),Calgary Flames,CEN,0.7866291526346193
22/10/2022 (v6.0),Carolina Hurricanes,MET,0.296337519912301
22/10/2022 (v6.0),Chicago Blackhawks,CEN,0.6779277005386072
22/10/2022 (v6.0),Colorado Avalanche,CEN,0.3455918577315408
22/10/2022 (v6.0),Columbus Blue Jackets,MET,0.6153188888861421
22/10/2022 (v6.0),Dallas Stars,CEN,0.5617053947469118
22/10/2022 (v6.0),Detroit Red Wings,ATL,0.21336984389169483
22/10/2022 (v6.0),Edmonton Oilers,PAC,0.5087869327280852
22/10/2022 (v6.0),Florida Panthers,ATL,0.6027237380294804
22/10/2022 (v6.0),Los Angeles Kings,PAC,0.22043728267280227
22/10/2022 (v6.0),Minnesota Wild,CEN,0.4093598073140828
22/10/2022 (v6.0),Montréal Canadiens,ATL,0.466818870454404
22/10/2022 (v6.0),Nashville Predators,CEN,0.11883453580548066
22/10/2022 (v6.0),New Jersey Devils,MET,0.8647296695433907
22/10/2022 (v6.0),New York Islanders,MET,0.07843377768421744
22/10/2022 (v6.0),New York Rangers,MET,0.2694564992330565
22/10/2022 (v6.0),Ottawa Senators,ATL,0.9545385271598827
22/10/2022 (v6.0),Philadelphia Flyers,MET,0.8845187423720123
22/10/2022 (v6.0),Pittsburgh Penguins,MET,0.8865548616585368
22/10/2022 (v6.0),San Jose Sharks,PAC,0.18394731422059585
22/10/2022 (v6.0),Seattle Kraken,PAC,0.7469508894058723
22/10/2022 (v6.0),St. Louis Blues,CEN,0.9395190628280283
22/10/2022 (v6.0),Tampa Bay Lightning,ATL,0.6571275637067344
22/10/2022 (v6.0),Toronto Maple Leafs,ATL,0.8526288806243353
22/10/2022 (v6.0),Vancouver Canucks,PAC,0.045840455570118295
22/10/2022 (v6.0),Vegas Golden Knights,PAC,0.6001555631185763
22/10/2022 (v6.0),Washington Capitals,MET,0.30379086153100887
22/10/2022 (v6.0),Winnipeg Jets,CEN,0.3692691706944946
