Rating Date,Team,Division,Clutch Rating
16/10/2021 (v5.0),Anaheim Ducks,PAC,0.5
16/10/2021 (v5.0),Arizona Coyotes,CEN,0.009951752603207494
16/10/2021 (v5.0),Boston Bruins,ATL,0.04450321351981346
16/10/2021 (v5.0),Buffalo Sabres,ATL,0.8224937406177024
16/10/2021 (v5.0),Calgary Flames,CEN,0.009951752603207494
16/10/2021 (v5.0),Carolina Hurricanes,MET,0.5
16/10/2021 (v5.0),Chicago Blackhawks,CEN,0.009951752603207494
16/10/2021 (v5.0),Colorado Avalanche,CEN,0.5
16/10/2021 (v5.0),Columbus Blue Jackets,MET,0.9554967864801865
16/10/2021 (v5.0),Dallas Stars,CEN,0.04450321351981346
16/10/2021 (v5.0),Detroit Red Wings,ATL,0.09112275396615029
16/10/2021 (v5.0),Edmonton Oilers,PAC,0.5
16/10/2021 (v5.0),Florida Panthers,ATL,0.5
16/10/2021 (v5.0),Los Angeles Kings,PAC,0.5
16/10/2021 (v5.0),Minnesota Wild,CEN,0.17750625938229755
16/10/2021 (v5.0),Montreal Canadiens,ATL,0.009951752603207494
16/10/2021 (v5.0),Nashville Predators,CEN,0.009951752603207494
16/10/2021 (v5.0),New Jersey Devils,MET,0.5
16/10/2021 (v5.0),New York Islanders,MET,0.009951752603207494
16/10/2021 (v5.0),New York Rangers,MET,0.17750625938229755
16/10/2021 (v5.0),Ottawa Senators,ATL,0.5
16/10/2021 (v5.0),Philadelphia Flyers,MET,0.009951752603207494
16/10/2021 (v5.0),Pittsburgh Penguins,MET,0.5
16/10/2021 (v5.0),San Jose Sharks,PAC,0.04450321351981346
16/10/2021 (v5.0),Seattle Kraken,PAC,0.17750625938229755
16/10/2021 (v5.0),St. Louis Blues,CEN,0.5
16/10/2021 (v5.0),Tampa Bay Lightning,ATL,0.26479350490593756
16/10/2021 (v5.0),Toronto Maple Leafs,ATL,0.5
16/10/2021 (v5.0),Vancouver Canucks,PAC,0.26449510613707206
16/10/2021 (v5.0),Vegas Golden Knights,PAC,0.5
16/10/2021 (v5.0),Washington Capitals,MET,0.17750625938229755
16/10/2021 (v5.0),Winnipeg Jets,CEN,0.009951752603207494
30/10/2021 (v5.0),Anaheim Ducks,PAC,0.02117902407792446
30/10/2021 (v5.0),Arizona Coyotes,CEN,0.009951752603207494
30/10/2021 (v5.0),Boston Bruins,ATL,0.5
30/10/2021 (v5.0),Buffalo Sabres,ATL,0.31753262278082994
30/10/2021 (v5.0),Calgary Flames,CEN,0.3746934252803001
30/10/2021 (v5.0),Carolina Hurricanes,MET,0.8224937406177024
30/10/2021 (v5.0),Chicago Blackhawks,CEN,0.009951752603207494
30/10/2021 (v5.0),Colorado Avalanche,CEN,0.5
30/10/2021 (v5.0),Columbus Blue Jackets,MET,0.7352064950940624
30/10/2021 (v5.0),Dallas Stars,CEN,0.09112275396615029
30/10/2021 (v5.0),Detroit Red Wings,ATL,0.7150423094578386
30/10/2021 (v5.0),Edmonton Oilers,PAC,0.9554967864801865
30/10/2021 (v5.0),Florida Panthers,ATL,0.5
30/10/2021 (v5.0),Los Angeles Kings,PAC,0.04450321351981346
30/10/2021 (v5.0),Minnesota Wild,CEN,0.5
30/10/2021 (v5.0),Montreal Canadiens,ATL,0.3750527519759092
30/10/2021 (v5.0),Nashville Predators,CEN,0.9279802086788461
