Rating Date,Team,Division,Scoring Rating
16/10/2021 (v5.0),Anaheim Ducks,PAC,0.6822883911040503
16/10/2021 (v5.0),Arizona Coyotes,CEN,0.12575507811506423
16/10/2021 (v5.0),Boston Bruins,ATL,0.9915386823125734
16/10/2021 (v5.0),Buffalo Sabres,ATL,0.9876244561128997
16/10/2021 (v5.0),Calgary Flames,CEN,0.25035661255798847
16/10/2021 (v5.0),Carolina Hurricanes,MET,0.9324138778370996
16/10/2021 (v5.0),Chicago Blackhawks,CEN,0.05240290599986482
16/10/2021 (v5.0),Colorado Avalanche,CEN,0.5747477500623677
16/10/2021 (v5.0),Columbus Blue Jackets,MET,0.7914079032971697
16/10/2021 (v5.0),Dallas Stars,CEN,0.18349010885394912
16/10/2021 (v5.0),Detroit Red Wings,ATL,0.5696491328252647
16/10/2021 (v5.0),Edmonton Oilers,PAC,0.7308416774986511
16/10/2021 (v5.0),Florida Panthers,ATL,0.7756322475073836
16/10/2021 (v5.0),Los Angeles Kings,PAC,0.9756692383750081
16/10/2021 (v5.0),Minnesota Wild,CEN,0.9196878567763781
16/10/2021 (v5.0),Montreal Canadiens,ATL,0.1750137247619845
16/10/2021 (v5.0),Nashville Predators,CEN,0.30346112926701674
16/10/2021 (v5.0),New Jersey Devils,MET,0.8604183056641053
16/10/2021 (v5.0),New York Islanders,MET,0.015120341590820468
16/10/2021 (v5.0),New York Rangers,MET,0.15704256962034652
16/10/2021 (v5.0),Ottawa Senators,ATL,0.18285476275489282
16/10/2021 (v5.0),Philadelphia Flyers,MET,0.4092628231438649
16/10/2021 (v5.0),Pittsburgh Penguins,MET,0.9829311522244305
16/10/2021 (v5.0),San Jose Sharks,PAC,0.9255071721381729
16/10/2021 (v5.0),Seattle Kraken,PAC,0.2959473500398506
16/10/2021 (v5.0),St. Louis Blues,CEN,0.7767989717436867
16/10/2021 (v5.0),Tampa Bay Lightning,ATL,0.31189040345930275
16/10/2021 (v5.0),Toronto Maple Leafs,ATL,0.8519890314718194
16/10/2021 (v5.0),Vancouver Canucks,PAC,0.3797097220875029
16/10/2021 (v5.0),Vegas Golden Knights,PAC,0.02433076162499203
16/10/2021 (v5.0),Washington Capitals,MET,0.9620422639880136
16/10/2021 (v5.0),Winnipeg Jets,CEN,0.1862243778254257
30/10/2021 (v5.0),Anaheim Ducks,PAC,0.18187455662259372
30/10/2021 (v5.0),Arizona Coyotes,CEN,0.007158141368710009
30/10/2021 (v5.0),Boston Bruins,ATL,0.4328733692525124
30/10/2021 (v5.0),Buffalo Sabres,ATL,0.7304024588273962
30/10/2021 (v5.0),Calgary Flames,CEN,0.9649914983328791
30/10/2021 (v5.0),Carolina Hurricanes,MET,0.9322455376037653
30/10/2021 (v5.0),Chicago Blackhawks,CEN,0.04607114418369937
30/10/2021 (v5.0),Colorado Avalanche,CEN,0.22528798334660524
30/10/2021 (v5.0),Columbus Blue Jackets,MET,0.0814053504654561
30/10/2021 (v5.0),Dallas Stars,CEN,0.19569987334124356
30/10/2021 (v5.0),Detroit Red Wings,ATL,0.4378506756002483
30/10/2021 (v5.0),Edmonton Oilers,PAC,0.810431623794184
30/10/2021 (v5.0),Florida Panthers,ATL,0.9587067884293176
30/10/2021 (v5.0),Los Angeles Kings,PAC,0.2555525165904815
30/10/2021 (v5.0),Minnesota Wild,CEN,0.3386321941345357
30/10/2021 (v5.0),Montreal Canadiens,ATL,0.08341687618551792
30/10/2021 (v5.0),Nashville Predators,CEN,0.5247591560063841
30/10/2021 (v5.0),New Jersey Devils,MET,0.5981121488451041
30/10/2021 (v5.0),New York Islanders,MET,0.6456502191259016
30/10/2021 (v5.0),New York Rangers,MET,0.7064163750575342
30/10/2021 (v5.0),Ottawa Senators,ATL,0.2980227311926628
30/10/2021 (v5.0),Philadelphia Flyers,MET,0.6722701084562268
30/10/2021 (v5.0),Pittsburgh Penguins,MET,0.48275291879763693
30/10/2021 (v5.0),San Jose Sharks,PAC,0.6938787651028115
30/10/2021 (v5.0),Seattle Kraken,PAC,0.3139781504302193
30/10/2021 (v5.0),St. Louis Blues,CEN,0.8338862781762928
30/10/2021 (v5.0),Tampa Bay Lightning,ATL,0.686082508155991
30/10/2021 (v5.0),Toronto Maple Leafs,ATL,0.2724798115509206
30/10/2021 (v5.0),Vancouver Canucks,PAC,0.2925199116786543
30/10/2021 (v5.0),Vegas Golden Knights,PAC,0.3854277576884801
30/10/2021 (v5.0),Washington Capitals,MET,0.9079065314522101
30/10/2021 (v5.0),Winnipeg Jets,CEN,0.6394064693133514
27/11/2021 (v5.0),Anaheim Ducks,PAC,0.7003783912779895
27/11/2021 (v5.0),Arizona Coyotes,CEN,0.022310525306538244
27/11/2021 (v5.0),Boston Bruins,ATL,0.6930399661796544
27/11/2021 (v5.0),Buffalo Sabres,ATL,0.19672313543345962
27/11/2021 (v5.0),Calgary Flames,CEN,0.9465423519279728
27/11/2021 (v5.0),Carolina Hurricanes,MET,0.9349286449622564
27/11/2021 (v5.0),Chicago Blackhawks,CEN,0.09070350377948902
27/11/2021 (v5.0),Colorado Avalanche,CEN,0.8673790884438295
27/11/2021 (v5.0),Columbus Blue Jackets,MET,0.5455721284848093
27/11/2021 (v5.0),Dallas Stars,CEN,0.44051374169521407
27/11/2021 (v5.0),Detroit Red Wings,ATL,0.22799948574859838
27/11/2021 (v5.0),Edmonton Oilers,PAC,0.7359118794276098
27/11/2021 (v5.0),Florida Panthers,ATL,0.9008314353029736
27/11/2021 (v5.0),Los Angeles Kings,PAC,0.5551762578961874
27/11/2021 (v5.0),Minnesota Wild,CEN,0.784661971812912
27/11/2021 (v5.0),Montreal Canadiens,ATL,0.09123979431715323
27/11/2021 (v5.0),Nashville Predators,CEN,0.3161585613635178
27/11/2021 (v5.0),New Jersey Devils,MET,0.4609537605668407
27/11/2021 (v5.0),New York Islanders,MET,0.09493875355504655
27/11/2021 (v5.0),New York Rangers,MET,0.5141998956971655
27/11/2021 (v5.0),Ottawa Senators,ATL,0.05028366409461763
27/11/2021 (v5.0),Philadelphia Flyers,MET,0.2650638069503389
27/11/2021 (v5.0),Pittsburgh Penguins,MET,0.7024065214800839
27/11/2021 (v5.0),San Jose Sharks,PAC,0.3712092309369332
27/11/2021 (v5.0),Seattle Kraken,PAC,0.27206915284655886
27/11/2021 (v5.0),St. Louis Blues,CEN,0.794512366919415
27/11/2021 (v5.0),Tampa Bay Lightning,ATL,0.7033532747368179
27/11/2021 (v5.0),Toronto Maple Leafs,ATL,0.8124461070290354
27/11/2021 (v5.0),Vancouver Canucks,PAC,0.24710274718638958
27/11/2021 (v5.0),Vegas Golden Knights,PAC,0.5090475467883018
27/11/2021 (v5.0),Washington Capitals,MET,0.9203319249656046
27/11/2021 (v5.0),Winnipeg Jets,CEN,0.5205152109268504
25/12/2021 (v5.0),Anaheim Ducks,PAC,0.6817297516241472
25/12/2021 (v5.0),Arizona Coyotes,CEN,0.020951152330734017
25/12/2021 (v5.0),Boston Bruins,ATL,0.6425487442989475
25/12/2021 (v5.0),Buffalo Sabres,ATL,0.1366678671635838
25/12/2021 (v5.0),Calgary Flames,CEN,0.8796594901979204
25/12/2021 (v5.0),Carolina Hurricanes,MET,0.933434175860653
25/12/2021 (v5.0),Chicago Blackhawks,CEN,0.10886539133347277
