Rating Date,Team,Division,Special Teams
16/10/2021 (v5.0),Anaheim Ducks,PAC,0.9953164296873966
16/10/2021 (v5.0),Arizona Coyotes,CEN,4.729777522930621e-05
16/10/2021 (v5.0),Boston Bruins,ATL,0.5
16/10/2021 (v5.0),Buffalo Sabres,ATL,0.9999898700090192
16/10/2021 (v5.0),Calgary Flames,CEN,0.0031726828424851893
16/10/2021 (v5.0),Carolina Hurricanes,MET,0.9939762300974047
16/10/2021 (v5.0),Chicago Blackhawks,CEN,0.9997688008796416
16/10/2021 (v5.0),Colorado Avalanche,CEN,0.00010102919390777272
16/10/2021 (v5.0),Columbus Blue Jackets,MET,0.9999783611801066
16/10/2021 (v5.0),Dallas Stars,CEN,0.9465966702001757
16/10/2021 (v5.0),Detroit Red Wings,ATL,0.4201884100030748
16/10/2021 (v5.0),Edmonton Oilers,PAC,0.9983312328539615
16/10/2021 (v5.0),Florida Panthers,ATL,0.00490296563845464
16/10/2021 (v5.0),Los Angeles Kings,PAC,0.9999898700090192
16/10/2021 (v5.0),Minnesota Wild,CEN,0.12909323862633218
16/10/2021 (v5.0),Montreal Canadiens,ATL,0.00014264626602304118
16/10/2021 (v5.0),Nashville Predators,CEN,0.021499323682558406
16/10/2021 (v5.0),New Jersey Devils,MET,0.00010102919390777272
16/10/2021 (v5.0),New York Islanders,MET,0.012493186263129554
16/10/2021 (v5.0),New York Rangers,MET,0.0013571639523248858
16/10/2021 (v5.0),Ottawa Senators,ATL,0.8709067613736678
16/10/2021 (v5.0),Philadelphia Flyers,MET,0.021020758274605946
16/10/2021 (v5.0),Pittsburgh Penguins,MET,0.8236100487732679
16/10/2021 (v5.0),San Jose Sharks,PAC,0.999995257777936
16/10/2021 (v5.0),Seattle Kraken,PAC,0.9551694957054216
16/10/2021 (v5.0),St. Louis Blues,CEN,0.9999898700090192
16/10/2021 (v5.0),Tampa Bay Lightning,ATL,0.9953164296873966
16/10/2021 (v5.0),Toronto Maple Leafs,ATL,0.8427720692212612
16/10/2021 (v5.0),Vancouver Canucks,PAC,0.016032104924362505
16/10/2021 (v5.0),Vegas Golden Knights,PAC,0.00010102919390777272
16/10/2021 (v5.0),Washington Capitals,MET,0.9989932291799144
16/10/2021 (v5.0),Winnipeg Jets,CEN,5.685213100650898e-05
30/10/2021 (v5.0),Anaheim Ducks,PAC,0.31388900042858553
30/10/2021 (v5.0),Arizona Coyotes,CEN,5.1855380575481025e-05
30/10/2021 (v5.0),Boston Bruins,ATL,0.3238794521657388
30/10/2021 (v5.0),Buffalo Sabres,ATL,0.7989910002494707
30/10/2021 (v5.0),Calgary Flames,CEN,0.9570985196432062
30/10/2021 (v5.0),Carolina Hurricanes,MET,0.9615800144984347
30/10/2021 (v5.0),Chicago Blackhawks,CEN,0.7759119513433007
30/10/2021 (v5.0),Colorado Avalanche,CEN,0.5344453525682099
30/10/2021 (v5.0),Columbus Blue Jackets,MET,0.10755140461958353
30/10/2021 (v5.0),Dallas Stars,CEN,0.3188634163971166
30/10/2021 (v5.0),Detroit Red Wings,ATL,0.13979423870251187
30/10/2021 (v5.0),Edmonton Oilers,PAC,0.9999824071430429
30/10/2021 (v5.0),Florida Panthers,ATL,0.9561441262270519
30/10/2021 (v5.0),Los Angeles Kings,PAC,0.011407626087748953
30/10/2021 (v5.0),Minnesota Wild,CEN,0.14829963408907304
30/10/2021 (v5.0),Montreal Canadiens,ATL,0.011151137398568576
30/10/2021 (v5.0),Nashville Predators,CEN,0.8879529614430097
30/10/2021 (v5.0),New Jersey Devils,MET,0.8133611858632268
30/10/2021 (v5.0),New York Islanders,MET,0.9794473782301052
30/10/2021 (v5.0),New York Rangers,MET,0.9648381948147848
30/10/2021 (v5.0),Ottawa Senators,ATL,0.8574169883779952
30/10/2021 (v5.0),Philadelphia Flyers,MET,0.7678124415603601
30/10/2021 (v5.0),Pittsburgh Penguins,MET,0.3188634163971166
30/10/2021 (v5.0),San Jose Sharks,PAC,0.8457957659328216
30/10/2021 (v5.0),Seattle Kraken,PAC,0.34955405121718774
30/10/2021 (v5.0),St. Louis Blues,CEN,0.9991428156502524
30/10/2021 (v5.0),Tampa Bay Lightning,ATL,0.11909796841148834
30/10/2021 (v5.0),Toronto Maple Leafs,ATL,0.041051893492676635
30/10/2021 (v5.0),Vancouver Canucks,PAC,0.05952436597650149
30/10/2021 (v5.0),Vegas Golden Knights,PAC,0.5
30/10/2021 (v5.0),Washington Capitals,MET,0.0419669448770894
30/10/2021 (v5.0),Winnipeg Jets,CEN,0.21231955604880434
27/11/2021 (v5.0),Anaheim Ducks,PAC,0.9685377790881344
27/11/2021 (v5.0),Arizona Coyotes,CEN,0.00929444924712809
27/11/2021 (v5.0),Boston Bruins,ATL,0.8487717474909259
27/11/2021 (v5.0),Buffalo Sabres,ATL,0.6811365836028834
